sno,cat_hospital,cat_college,cat_train
1,False,False,False
2,True,False,False
3,False,False,False
4,False,False,False
5,False,False,False
6,False,False,False
7,False,False,False
8,False,False,False
9,False,False,False
10,True,False,False
11,True,False,False
12,True,True,False
13,False,False,False
14,False,False,False
15,False,False,False
16,False,False,False
17,False,False,False
18,False,False,False
19,False,False,False
20,False,False,False
21,True,False,False
22,False,False,True
23,False,False,True
24,False,False,False
25,False,False,False
26,False,False,False
27,False,False,False
28,False,False,True
29,False,False,False
30,True,False,False
31,False,False,False
32,False,False,False
33,True,False,False
34,True,False,False
35,True,False,False
36,False,True,False
37,False,False,False
38,False,True,False
39,False,False,False
40,False,False,False
41,False,False,False
42,False,False,False
43,False,True,False
44,False,False,False
45,False,True,False
46,False,False,False
47,False,True,False
48,False,False,True
49,True,False,False
50,False,False,False
51,False,False,False
52,False,False,False
53,False,True,False
54,False,False,False
55,True,False,False
56,True,True,False
57,False,False,False
58,True,False,False
59,False,False,False
60,True,False,False
61,False,True,False
62,True,False,False
63,True,False,False
64,True,True,False
65,False,False,False
66,False,False,False
67,True,False,False
68,True,False,False
69,False,False,False
70,False,False,False
71,True,False,False
72,True,False,False
73,False,False,False
74,False,False,False
75,False,False,False
76,False,False,False
77,False,False,False
78,False,False,False
79,True,False,False
80,True,False,False
81,True,False,False
82,False,False,False
83,False,False,False
84,False,False,True
85,True,False,False
86,False,False,False
87,False,False,False
88,False,False,False
89,True,False,False
90,True,False,False
91,False,True,False
92,False,False,False
93,False,True,False
94,True,False,False
95,False,False,False
96,False,False,False
97,False,True,False
98,False,False,False
99,True,False,False
100,False,False,False
101,False,True,False
102,False,False,False
103,False,False,True
104,False,False,False
105,True,False,False
106,True,False,True
107,False,True,False
108,False,False,False
109,False,False,False
110,False,True,False
111,True,False,False
112,True,False,False
113,False,False,False
114,False,False,False
115,True,False,True
116,False,False,False
117,False,False,False
118,True,False,False
119,False,False,False
120,True,False,True
121,False,False,False
122,False,False,False
123,False,False,False
124,True,True,False
125,True,False,False
126,False,True,False
127,False,False,False
128,False,False,False
129,False,False,False
130,True,False,False
131,False,False,False
132,True,False,False
133,False,False,False
134,False,False,False
135,False,False,False
136,False,True,False
137,False,False,False
138,False,False,False
139,True,False,False
140,False,False,False
141,False,False,False
142,False,False,False
143,False,False,False
144,False,True,False
145,False,True,False
146,False,False,False
147,False,False,False
148,False,False,False
149,False,False,False
150,False,False,False
151,False,False,False
152,False,False,False
153,False,False,False
154,True,False,False
155,False,False,False
156,False,False,False
157,False,False,False
158,False,False,False
159,False,True,False
160,False,False,False
161,False,False,False
162,True,False,False
163,False,False,False
164,False,False,False
165,False,False,False
166,False,False,False
167,True,False,False
168,False,False,False
169,False,False,False
170,False,False,False
171,True,False,False
172,False,False,False
173,True,False,False
174,True,False,False
175,False,False,False
176,False,False,False
177,False,False,False
178,False,False,False
179,False,False,False
180,True,False,False
181,False,False,False
182,False,True,False
183,False,False,False
184,False,False,False
185,True,False,False
186,False,True,False
187,True,False,False
188,False,False,False
189,False,False,False
190,False,True,False
191,False,False,False
192,True,True,False
193,False,False,False
194,False,False,False
195,False,False,False
196,True,False,False
197,True,False,False
198,False,False,False
199,False,False,False
200,False,False,False
201,False,False,False
202,True,False,False
203,True,False,False
204,False,False,False
205,False,False,False
206,False,False,False
207,False,False,False
208,True,False,False
209,False,False,False
210,False,False,False
211,False,False,False
212,False,True,False
213,False,False,False
214,False,False,False
215,True,False,False
216,False,True,False
217,False,False,False
218,False,False,False
219,False,False,False
220,False,False,False
221,False,False,False
222,False,True,False
223,False,False,False
224,False,False,False
225,False,False,False
226,False,False,False
227,False,False,False
228,False,False,False
229,False,False,True
230,False,False,False
231,True,False,False
232,False,False,False
233,True,True,False
234,True,False,False
235,True,False,False
236,True,False,False
237,False,True,False
238,False,False,False
239,False,False,False
240,True,False,False
241,False,False,False
242,True,False,False
243,False,False,False
244,True,False,False
245,False,False,False
246,False,False,False
247,False,False,False
248,False,False,False
249,False,False,False
250,False,True,False
251,False,False,False
252,False,True,False
253,False,False,False
254,True,False,False
255,True,False,False
256,False,False,False
257,False,False,False
258,True,False,False
259,False,False,False
260,False,False,False
261,True,False,False
262,False,False,False
263,False,True,False
264,False,False,False
265,False,False,False
266,False,False,False
267,False,False,True
268,False,False,True
269,True,False,False
270,False,False,False
271,True,False,False
272,False,False,False
273,False,False,False
274,False,False,False
275,True,False,False
276,True,True,False
277,False,False,False
278,False,False,False
279,False,False,True
280,False,False,False
281,True,False,False
282,False,False,False
283,True,False,False
284,True,False,False
285,True,False,False
286,False,True,False
287,False,False,False
288,False,True,False
289,False,False,False
290,False,False,False
291,False,False,True
292,False,False,False
293,True,False,False
294,False,False,False
295,False,True,False
296,False,False,False
297,True,False,False
298,False,False,False
299,False,False,True
300,False,False,False
301,False,False,False
302,False,False,False
303,False,False,False
304,False,False,False
305,False,False,False
306,True,False,False
307,True,False,False
308,False,False,False
309,True,False,False
310,False,False,False
311,False,True,False
312,True,False,False
313,False,True,False
314,True,False,False
315,False,False,False
316,False,False,False
317,True,False,False
318,True,False,False
319,False,True,False
320,True,False,False
321,False,False,False
322,True,False,False
323,True,False,False
324,False,False,False
325,False,False,False
326,True,False,False
327,False,False,False
328,True,False,False
329,False,False,False
330,False,False,False
331,False,True,False
332,False,False,False
333,True,False,False
334,False,False,False
335,False,False,False
336,False,True,False
337,False,False,True
338,False,False,False
339,False,False,False
340,True,False,False
341,False,False,False
342,False,False,False
343,False,False,False
344,True,False,False
345,True,False,False
346,False,False,False
347,False,False,False
348,False,False,False
349,False,False,False
350,False,False,False
351,True,False,True
352,False,False,False
353,False,False,False
354,False,True,False
355,False,False,False
356,False,False,False
357,False,False,False
358,False,False,False
359,False,False,False
360,False,False,False
361,True,True,False
362,False,True,False
363,True,False,False
364,False,False,False
365,False,True,False
366,False,True,False
367,False,False,False
368,False,False,False
369,True,True,False
370,False,False,False
371,False,False,False
372,False,False,False
373,True,False,False
374,False,False,False
375,False,True,False
376,False,False,False
377,False,False,False
378,False,False,False
379,False,False,False
380,False,False,False
381,False,False,False
382,False,False,False
383,False,False,False
384,True,False,False
385,False,True,False
386,True,False,False
387,True,True,False
388,False,False,False
389,False,False,False
390,False,False,False
391,False,False,False
392,True,False,False
393,False,False,False
394,False,False,False
395,False,False,False
396,False,False,False
397,False,False,False
398,False,False,False
399,False,True,False
400,False,False,False
401,False,False,False
402,False,False,False
403,True,False,False
404,False,False,False
