,0,1
1,C0AC70,466920
2,C0AC70,466920
3,C0AC70,466920
4,C0AC70,466920
5,C0AC70,466920
6,C0AC70,466920
7,C0AC70,466920
8,C0AC70,466920
9,C0AC70,466920
10,C0AC70,466920
11,C0AC70,466920
12,C0AC70,466920
13,C0AC70,466920
14,C0AH70,466920
16,C0AC70,466920
17,C0AH70,466920
18,C0AH70,466920
19,C0AC70,466920
21,C0AH70,466920
22,C0AC70,466920
23,C0A9F0,466920
24,C0AH70,466920
25,C0AC70,466920
26,C0AC70,466920
27,C0A9F0,466920
28,C0AC70,466920
29,466920,466920
30,C0AC70,466920
31,C0AC70,466920
32,C0AC70,466920
33,C0AC70,466920
34,C0AH70,466920
35,C0AH70,466920
36,C0AC70,466920
37,C0AH70,466920
38,466920,466920
39,C0A9F0,466920
40,C0AC70,466920
41,C0A9F0,466920
42,C0AC70,466920
43,C0AC70,466920
44,C0A9F0,466920
45,C0AC70,466920
46,C0A9F0,466920
47,C0AH70,466920
48,C0A9F0,466920
49,C0AC70,466920
50,C0A9F0,466920
51,C0AH70,466920
52,C0AH70,466920
53,C0AH70,466920
54,C0AC70,466920
55,C0AH70,466920
56,466920,466920
57,C0AC70,466920
58,466920,466920
59,C0AH70,466920
60,C0AH70,466920
61,C0AC70,466920
62,466920,466920
63,C0AC70,466920
64,466920,466920
65,466920,466920
66,C0AC70,466920
67,466920,466920
68,466920,466920
69,C0AC70,466920
70,C0AC70,466920
71,C0AC70,466920
72,C0AH70,466920
73,C0A9E0,466920
74,C0AH70,466920
75,C0AC70,466920
76,C0AH70,466920
77,C0AC70,466920
78,C0AH70,466920
79,C0AH70,466920
80,466920,466920
81,466920,466920
82,466920,466920
83,C0AH70,466920
84,466920,466920
85,C0AC70,466920
86,C0AH70,466920
87,C0AC70,466920
88,C0AC70,466920
89,466920,466920
90,466920,466920
91,C0AH70,466920
92,466920,466920
93,C0AC70,466920
94,C0AC70,466920
95,466920,466920
96,C0A9F0,466920
97,C0A9E0,466920
98,C0AC70,466920
99,C0AH70,466920
100,C0AH70,466920
101,C0AH70,466920
102,466920,466920
103,466920,466920
104,C0AC70,466920
105,466920,466920
106,466920,466920
107,466920,466920
108,C0A9E0,466920
109,C0AH70,466920
110,C0A9F0,466920
111,C0AH70,466920
112,C0AI40,466930
113,C0AC70,466920
114,C0A9C0,466930
115,466920,466920
116,C0A9C0,466920
117,C0AI40,466930
118,C0AI40,466930
119,C0A9F0,466920
120,466920,466920
121,C0AH70,466920
122,C0A9F0,466920
123,C0A9C0,466930
124,C0A9C0,466930
125,466920,466920
126,C0AC70,466920
127,C0A9F0,466920
128,C0AC70,466920
129,C0A9F0,466920
130,466920,466920
131,C0A9F0,466920
132,C0AC70,466920
133,C0A9C0,466930
134,C0A9C0,466930
135,C0AI40,466930
136,C0AI40,466930
137,C0AI40,466930
138,C0AC70,466920
139,466920,466920
140,466920,466920
141,C0AC70,466920
142,C0AC70,466920
143,C0AC70,466920
144,C0AC70,466920
145,466920,466920
146,C0A9C0,466920
147,C0A9E0,466920
148,C0A9C0,466930
149,C0AI40,466930
150,C0AC70,466920
151,C0AC70,466920
152,C0A9E0,466920
153,466920,466920
154,C0A9E0,466920
155,C0A9F0,466920
156,C0A9F0,466920
157,C0A9F0,466920
158,C0A9F0,466920
159,C0A9F0,466920
161,C0AI40,466930
162,C0AH70,466920
163,C0AC70,466920
164,C0AI40,466930
165,C0AI40,466930
166,C0AC70,466920
167,C0A9E0,466920
168,466920,466920
169,466920,466920
170,C0A9F0,466920
171,C0AC70,466920
172,C0AC70,466920
173,C0AH70,466920
174,C0AH70,466920
175,C0AH70,466920
176,C0AH70,466920
177,C0A9E0,466920
178,C0A9E0,466920
179,C0AC70,466920
180,C0A9F0,466920
181,C0AC70,466920
182,466920,466920
183,466920,466920
184,C0A9F0,466920
185,C0AH70,466920
186,466920,466920
187,C0AC70,466920
188,C0A9E0,466920
189,C0A9F0,466930
190,C0A9F0,466920
191,C0A9F0,466930
192,C0A9F0,466920
193,C0AC70,466920
194,C0AH70,466920
195,466920,466920
196,C0A9F0,466920
197,C0AC70,466920
201,C0A9F0,466920
202,C0A980,466930
203,466920,466920
204,C0A9C0,466930
205,C0AC70,466920
206,C0AC70,466920
207,C0A9E0,466920
208,466920,466920
209,C0AI40,466930
210,C0A9F0,466920
211,C0A9F0,466920
212,C0A9F0,466920
213,C0A9C0,466930
214,C0AC70,466920
215,466920,466920
216,C0A9F0,466920
217,C0A9F0,466920
218,C0AC70,466920
219,466920,466920
220,466920,466920
221,C0AC70,466920
222,C0AH70,466920
223,C0AI40,466930
224,C0A9E0,466920
225,C0AC70,466920
226,C0A9F0,466920
227,C0A9F0,466920
228,C0AC70,466920
229,466920,466920
230,C0A9F0,466920
231,C0AH70,466920
232,C0A9C0,466930
233,C0A980,466930
234,C0A9C0,466930
235,C0AC70,466920
236,C0A980,466930
237,C0AC70,466920
238,C0A9F0,466920
239,C0A9F0,466920
240,C0AH70,466920
241,C0AC70,466920
242,C0A980,466930
243,C0A9E0,466920
244,C0AH70,466920
245,C0AH70,466920
246,C0A9F0,466930
247,C0AC70,466920
248,C0AC70,466920
249,466920,466920
250,C0AH70,466920
251,C0A9E0,466920
252,C0AC70,466920
253,C0A9C0,466930
254,C0A980,466930
255,C0AC70,466920
256,C0A9C0,466920
257,466920,466920
258,466920,466920
259,C0AH70,466920
260,C0A9F0,466920
261,C0AC70,466920
262,C0AC70,466920
263,C0A9C0,466930
264,C0AI40,466930
265,C0A980,466930
266,C0A9F0,466920
267,C0AC70,466920
268,C0A9F0,466920
269,C0A9F0,466920
270,C0A9C0,466930
271,C0AH70,466920
272,C0AC70,466920
273,C0A9C0,466930
274,C0A9F0,466920
275,466920,466920
276,C0AC70,466920
277,466920,466920
278,C0A9F0,466920
279,C0A9F0,466920
280,C0A9E0,466920
281,C0AH70,466920
282,C0AC70,466920
283,C0A980,466930
284,C0A9C0,466920
285,466920,466920
286,C0A9F0,466920
287,C0AH70,466920
288,466920,466920
289,466920,466920
290,C0AH70,466920
291,C0AC70,466920
292,C0AC70,466920
293,466920,466920
294,C0AH70,466920
295,C0AC70,466920
296,C0AC70,466920
297,466920,466920
298,466920,466920
299,466920,466920
300,C0AC70,466920
301,C0AH70,466920
302,C0AH70,466920
303,C0A9F0,466920
304,C0AH70,466920
305,C0A9F0,466930
306,466920,466920
307,C0AC70,466920
308,C0AC70,466920
309,C0AH70,466920
310,C0AH70,466920
311,C0AH70,466920
312,C0AC70,466920
313,C0AH70,466920
314,C0AH70,466920
315,C0AC70,466920
316,C0AH70,466920
317,466920,466920
318,C0A9F0,466920
319,C0AH70,466920
320,C0AC70,466920
321,466920,466920
322,C0AH70,466920
323,C0AH70,466920
324,C0A9E0,466920
325,C0A9F0,466920
326,C0AC70,466920
327,466920,466920
328,C0AH70,466920
329,C0A9F0,466920
330,C0A9E0,466920
331,C0AH70,466920
332,466920,466920
333,C0AC70,466920
334,C0AC70,466920
335,C0AC70,466920
336,466920,466920
337,C0AC70,466920
338,C0AC70,466920
339,C0A9E0,466920
340,C0AC70,466920
341,C0A9C0,466920
342,C0AI40,466930
343,C0AC70,466920
344,C0AH70,466920
345,466920,466920
346,C0A9E0,466920
347,466920,466920
348,C0AH70,466920
349,C0A9E0,466920
350,C0AC70,466920
351,466920,466920
352,466920,466920
353,466920,466920
354,C0AH70,466920
355,C0AC70,466920
356,C0A9F0,466920
357,C0AC70,466920
358,C0A9F0,466920
359,C0AC70,466920
360,C0AH70,466920
361,C0A9C0,466930
362,466920,466920
363,C0AC70,466920
364,C0AC70,466920
365,C0AI40,466930
366,C0A9F0,466920
367,C0AI40,466930
368,C0A9C0,466930
369,C0AC70,466920
370,466920,466920
371,466920,466920
372,466920,466920
373,C0AH70,466920
374,C0A9F0,466920
375,C0A9C0,466920
376,C0AH70,466920
377,C0A9F0,466920
378,C0A9F0,466920
379,C0AC70,466920
380,C0A9F0,466920
381,C0A9F0,466920
382,466920,466920
383,C0AC70,466920
384,C0AH70,466920
385,C0AC70,466920
386,C0AH70,466920
387,C0AC70,466920
388,C0AC70,466920
389,C0AC70,466920
390,C0AI40,466930
391,C0AC70,466920
392,C0AC70,466920
393,C0A9F0,466930
394,C0AC70,466920
395,C0AC70,466920
396,C0A9F0,466920
397,C0A9E0,466920
398,C0A9C0,466930
399,466920,466920
400,C0AC70,466920
401,C0AH70,466920
402,C0A9F0,466920
403,C0A9F0,466920
404,C0A9E0,466920
405,C0AC70,466920
